benchmark,split,class_id,class_name,count
emnist_letters,train,0,A,769
emnist_letters,train,1,B,769
emnist_letters,train,2,C,769
emnist_letters,train,3,D,770
emnist_letters,train,4,E,770
emnist_letters,train,5,F,769
emnist_letters,train,6,G,769
emnist_letters,train,7,H,769
emnist_letters,train,8,I,769
emnist_letters,train,9,J,770
emnist_letters,train,10,K,769
emnist_letters,train,11,L,769
emnist_letters,train,12,M,769
emnist_letters,train,13,N,769
emnist_letters,train,14,O,769
emnist_letters,train,15,P,769
emnist_letters,train,16,Q,770
emnist_letters,train,17,R,769
emnist_letters,train,18,S,770
emnist_letters,train,19,T,769
emnist_letters,train,20,U,769
emnist_letters,train,21,V,769
emnist_letters,train,22,W,769
emnist_letters,train,23,X,770
emnist_letters,train,24,Y,769
emnist_letters,train,25,Z,769
emnist_letters,val,0,A,116
emnist_letters,val,1,B,115
emnist_letters,val,2,C,115
emnist_letters,val,3,D,116
emnist_letters,val,4,E,116
emnist_letters,val,5,F,116
emnist_letters,val,6,G,116
emnist_letters,val,7,H,115
emnist_letters,val,8,I,115
emnist_letters,val,9,J,115
emnist_letters,val,10,K,116
emnist_letters,val,11,L,115
emnist_letters,val,12,M,116
emnist_letters,val,13,N,115
emnist_letters,val,14,O,116
emnist_letters,val,15,P,115
emnist_letters,val,16,Q,115
emnist_letters,val,17,R,115
emnist_letters,val,18,S,115
emnist_letters,val,19,T,117
emnist_letters,val,20,U,115
emnist_letters,val,21,V,115
emnist_letters,val,22,W,115
emnist_letters,val,23,X,115
emnist_letters,val,24,Y,115
emnist_letters,val,25,Z,115
emnist_letters,test,0,A,115
emnist_letters,test,1,B,116
emnist_letters,test,2,C,116
emnist_letters,test,3,D,116
emnist_letters,test,4,E,116
emnist_letters,test,5,F,117
emnist_letters,test,6,G,115
emnist_letters,test,7,H,115
emnist_letters,test,8,I,115
emnist_letters,test,9,J,115
emnist_letters,test,10,K,115
emnist_letters,test,11,L,116
emnist_letters,test,12,M,115
emnist_letters,test,13,N,115
emnist_letters,test,14,O,115
emnist_letters,test,15,P,115
emnist_letters,test,16,Q,115
emnist_letters,test,17,R,115
emnist_letters,test,18,S,115
emnist_letters,test,19,T,115
emnist_letters,test,20,U,116
emnist_letters,test,21,V,115
emnist_letters,test,22,W,115
emnist_letters,test,23,X,115
emnist_letters,test,24,Y,115
emnist_letters,test,25,Z,117
